sim_scenario,n_plus,n_minus,n_target,pi_target,seed,time,gamma_selection_name,estimator,type,estimator_name,kernel,pi,var_n,var,gamma
sim_par_4-p-20,50,50,100,0.75,87,0.010410070419311523,one_over_p,nrm,U,nrm_U,rbf,0.7590659825744897,0.0034058410973664428,0.06811682194732885,0.05
sim_par_4-p-20,50,50,100,0.75,87,0.004586935043334961,one_over_p,nrm,V,nrm_V,rbf,0.7768333994913014,0.002468762104394248,0.049375242087884956,0.05
sim_par_4-p-20,50,50,100,0.75,87,0.004494190216064453,one_over_p,ipr,U,ipr_U,rbf,0.7601225899449664,0.0034058410973664428,0.06811682194732885,0.05
sim_par_4-p-20,50,50,100,0.75,87,0.00439143180847168,one_over_p,ipr,V,ipr_V,rbf,0.7212809988247649,0.002468762104394248,0.049375242087884956,0.05
sim_par_4-p-20,50,50,100,0.75,87,0.06012153625488281,numerical,ipr,U,ipr_U,rbf,0.7645621583220126,0.003298812612442332,0.06597625224884664,0.03103062848807292
sim_par_4-p-20,50,50,100,0.75,87,0.06370067596435547,grid,ipr,U,ipr_U,rbf,0.7653656124952084,0.0033033449496659255,0.06606689899331851,0.027474064939084195
sim_par_4-p-20,50,50,100,0.75,87,2.901031494140625,bootstrap_var,ipr,U,ipr_U,rbf,0.7653656124952084,0.0033033449496659255,0.06606689899331851,0.027474064939084195
sim_par_4-p-20,50,50,100,0.75,87,2.945594310760498,bootstrap_mse,ipr,U,ipr_U,rbf,0.7653656124952084,0.0033033449496659255,0.06606689899331851,0.027474064939084195
sim_par_4-p-20,50,50,100,0.75,87,0.06575679779052734,distance,ipr,U,ipr_U,rbf,0.7686832110797448,0.0034669883519333035,0.06933976703866607,0.011033312428072877
sim_par_4-p-20,50,50,100,0.75,87,0.062189579010009766,distance,ipr,V,ipr_V,rbf,0.7571497340146802,0.003276032523523053,0.06552065047046106,0.005162179451828385
sim_par_4-p-20,50,50,100,0.75,87,0.039988040924072266,numerical,ipr,V,ipr_V,rbf,0.6502021118032077,0.0015687872636651328,0.031375745273302655,0.1
sim_par_4-p-20,50,50,100,0.75,87,0.06030130386352539,grid,ipr,V,ipr_V,rbf,0.7428217029960879,0.0027687397865776018,0.05537479573155203,0.027474064939084195
sim_par_4-p-20,50,50,100,0.75,87,2.9484307765960693,bootstrap_var,ipr,V,ipr_V,rbf,0.7428217029960879,0.0027687397865776018,0.05537479573155203,0.027474064939084195
sim_par_4-p-20,50,50,100,0.75,87,2.9747228622436523,bootstrap_mse,ipr,V,ipr_V,rbf,0.7428217029960879,0.0027687397865776018,0.05537479573155203,0.027474064939084195
sim_par_4-p-20,100,100,200,0.75,87,0.008220434188842773,one_over_p,nrm,U,nrm_U,rbf,0.8044555844987071,0.0015856295502286906,0.06342518200914762,0.05
sim_par_4-p-20,100,100,200,0.75,87,0.00760650634765625,one_over_p,nrm,V,nrm_V,rbf,0.8103258243083276,0.0013271510733807875,0.053086042935231496,0.05
sim_par_4-p-20,100,100,200,0.75,87,0.00800776481628418,one_over_p,ipr,U,ipr_U,rbf,0.8013837579745537,0.0015856295502286906,0.06342518200914762,0.05
sim_par_4-p-20,100,100,200,0.75,87,0.008691072463989258,one_over_p,ipr,V,ipr_V,rbf,0.775525271879601,0.0013271510733807875,0.053086042935231496,0.05
sim_par_4-p-20,100,100,200,0.75,87,0.1249854564666748,numerical,ipr,U,ipr_U,rbf,0.808040512409418,0.0015422490913258944,0.06168996365303577,0.029011260328630904
sim_par_4-p-20,100,100,200,0.75,87,0.11423254013061523,grid,ipr,U,ipr_U,rbf,0.8083556865942361,0.0015423292631201668,0.06169317052480667,0.028196497368339596
sim_par_4-p-20,100,100,200,0.75,87,5.698012351989746,bootstrap_var,ipr,U,ipr_U,rbf,0.8083556865942361,0.0015423292631201668,0.06169317052480667,0.028196497368339596
sim_par_4-p-20,100,100,200,0.75,87,5.793136119842529,bootstrap_mse,ipr,U,ipr_U,rbf,0.8083556865942361,0.0015423292631201668,0.06169317052480667,0.028196497368339596
sim_par_4-p-20,100,100,200,0.75,87,0.12313079833984375,distance,ipr,U,ipr_U,rbf,0.818813334679565,0.001618040556239708,0.06472162224958831,0.006852534908743478
sim_par_4-p-20,100,100,200,0.75,87,0.12953710556030273,distance,ipr,V,ipr_V,rbf,0.8120925435788948,0.001554800651909099,0.062192026076363954,0.005102543580831385
sim_par_4-p-20,100,100,200,0.75,87,0.09789824485778809,numerical,ipr,V,ipr_V,rbf,0.7145724364642073,0.0010197693038195741,0.04079077215278296,0.1
sim_par_4-p-20,100,100,200,0.75,87,0.2023918628692627,grid,ipr,V,ipr_V,rbf,0.7936639694105551,0.0014003417328148449,0.05601366931259379,0.028196497368339596
sim_par_4-p-20,100,100,200,0.75,87,6.8162384033203125,bootstrap_var,ipr,V,ipr_V,rbf,0.7936639694105551,0.0014003417328148449,0.05601366931259379,0.028196497368339596
